source_file,equipo,modelo,tipo_documento,prioridad_fuente,decision_curaduria,idioma,estado_producto,motivo_decision,archivo_original,ruta_original,alerta_automatica
entrar_en_servicio_y_copiar_log_errores_recarga_soft.md,Ventilador Draeger VN500,Respirador Draeger - VN500,sin_clasificar,C,revisar,espanol,pendiente,Tipo documental no clasificado; requiere revision manual antes de activar. Requiere revision OCR antes de considerarse fuente confiable.,entrar en servicio y copiar log errores recarga soft.pdf,Manuales-20260528T010304Z-3-001/Manuales/draguer respirador/Draeger- VN500/entrar en servicio y copiar log errores recarga soft.pdf,Requiere revision OCR
funcionamiento_del_ventilador_mecanico.md,Ventilador Draeger VN500,Respirador Draeger - VN500,sin_clasificar,C,revisar,indeterminado,pendiente,Tipo documental no clasificado; requiere revision manual antes de activar. Idioma indeterminado; requiere validacion.,Funcionamiento del Ventilador Mecanico.mp4,Manuales-20260528T010304Z-3-001/Manuales/draguer respirador/Draeger- VN500/Funcionamiento del Ventilador Mecanico.mp4,Sin alerta automática
manual_usuario_vn500_es.md,Ventilador Draeger VN500,Respirador Draeger - VN500,sin_clasificar,C,revisar,indeterminado,pendiente,Tipo documental no clasificado; requiere revision manual antes de activar. Requiere revision OCR antes de considerarse fuente confiable. Idioma indeterminado; requiere validacion.,Manual Usuario-vn500-es.pdf,Manuales-20260528T010304Z-3-001/Manuales/draguer respirador/Draeger- VN500/Manual Usuario-vn500-es.pdf,Requiere revision OCR
other_volumeguarantee_interview_dr_m_keszler_en.md,Ventilador Draeger VN500,Respirador Draeger - VN500,sin_clasificar,C,revisar,ingles,pendiente,Tipo documental no clasificado; requiere revision manual antes de activar.,other_VolumeGuarantee interview Dr.M.Keszler_en.pdf,Manuales-20260528T010304Z-3-001/Manuales/draguer respirador/Draeger- VN500/other_VolumeGuarantee interview Dr.M.Keszler_en.pdf,Sin alerta automática
simulation_vn500.md,Ventilador Draeger VN500,Respirador Draeger - VN500,sin_clasificar,C,revisar,indeterminado,pendiente,Tipo documental no clasificado; requiere revision manual antes de activar. Idioma indeterminado; requiere validacion.,Simulation VN500.url,Manuales-20260528T010304Z-3-001/Manuales/draguer respirador/Draeger- VN500/Simulation VN500.url,Sin alerta automática
vn500_customer_pres_es_final.md,Ventilador Draeger VN500,Respirador Draeger - VN500,sin_clasificar,C,revisar,indeterminado,pendiente,Tipo documental no clasificado; requiere revision manual antes de activar. Idioma indeterminado; requiere validacion.,VN500_customer_pres_es_final.ppt,Manuales-20260528T010304Z-3-001/Manuales/draguer respirador/Draeger- VN500/VN500_customer_pres_es_final.ppt,Sin alerta automática
vn500_with_shadows_and_hoses_091210.md,Ventilador Draeger VN500,Respirador Draeger - VN500,sin_clasificar,C,revisar,indeterminado,pendiente,Tipo documental no clasificado; requiere revision manual antes de activar. Idioma indeterminado; requiere validacion.,vn500_with_shadows_and_hoses_091210.wmv,Manuales-20260528T010304Z-3-001/Manuales/draguer respirador/Draeger- VN500/vn500_with_shadows_and_hoses_091210.wmv,Sin alerta automática
vn500_with_shadows_without_hoses_091210.md,Ventilador Draeger VN500,Respirador Draeger - VN500,sin_clasificar,C,revisar,indeterminado,pendiente,Tipo documental no clasificado; requiere revision manual antes de activar. Idioma indeterminado; requiere validacion.,vn500_with_shadows_without_hoses_091210.wmv,Manuales-20260528T010304Z-3-001/Manuales/draguer respirador/Draeger- VN500/vn500_with_shadows_without_hoses_091210.wmv,Sin alerta automática
videos_uso_vn500.md,Ventilador Draeger VN500,Respirador Draeger - VN500,sin_clasificar,C,revisar,indeterminado,pendiente,Tipo documental no clasificado; requiere revision manual antes de activar. Idioma indeterminado; requiere validacion.,videos uso VN500.docx,Manuales-20260528T010304Z-3-001/Manuales/draguer respirador/videos uso VN500.docx,Sin alerta automática
dispo_8155_14_manual_kairos.md,Dispo,,sin_clasificar,C,revisar,espanol,pendiente,Tipo documental no clasificado; requiere revision manual antes de activar.,Dispo_8155-14 manual kairos.pdf,Manuales-20260528T010304Z-3-001/Manuales/Electrobisturi/Dispo_8155-14 manual kairos.pdf,Sin alerta automática
leep_system_1000.md,Electrobisturi LEEP System 1000,Electrobisturi LEEP System 1000,sin_clasificar,C,revisar,ingles,pendiente,Tipo documental no clasificado; requiere revision manual antes de activar.,Leep System 1000.pdf,Manuales-20260528T010304Z-3-001/Manuales/Electrobisturi/Leep System 1000.pdf,Sin alerta automática
leep_user_manual.md,Electrobisturi LEEP System 1000,Electrobisturi LEEP System 1000,sin_clasificar,C,revisar,ingles,pendiente,Tipo documental no clasificado; requiere revision manual antes de activar. Requiere revision OCR antes de considerarse fuente confiable.,LEEP-user-manual.pdf,Manuales-20260528T010304Z-3-001/Manuales/Electrobisturi/LEEP-user-manual.pdf,Requiere revision OCR
minicomp_kairos_m_x_esu_service_manual_2_es_1.md,Electrobisturi Minicomp Kairos M/X,Electrobisturi Minicomp Kairos M/X,manual_servicio,A,revisar,espanol,pendiente,"Manual tecnico/servicio; fuente prioritaria para mantenimiento, fallas y procedimientos. Requiere revision OCR antes de considerarse fuente confiable.",Minicomp Kairos M-X ESU - Service manual 2 (es) (1).pdf,Manuales-20260528T010304Z-3-001/Manuales/Electrobisturi/Minicomp Kairos M-X ESU - Service manual 2 (es) (1).pdf,Requiere revision OCR
valleylab_force_fx_c_esu_service_manual.md,Electrobisturi Valleylab Force FX,Electrobisturi Valleylab Force FX-8C,manual_servicio,A,revisar,ingles,pendiente,"Manual tecnico/servicio; fuente prioritaria para mantenimiento, fallas y procedimientos. Requiere revision OCR antes de considerarse fuente confiable.",Valleylab Force FX-C ESU - Service manual.pdf,Manuales-20260528T010304Z-3-001/Manuales/Electrobisturi/Valleylab Force FX-C ESU - Service manual.pdf,Requiere revision OCR
valleylab_force_fx_8c_electrosurgical_generator_service_manual.md,Electrobisturi Valleylab Force FX,Electrobisturi Valleylab Force FX-8C,manual_servicio,A,incluir,ingles,validado,"Manual tecnico/servicio; fuente prioritaria para mantenimiento, fallas y procedimientos.",Valleylab_Force_FX-8c_Electrosurgical_Generator_-_Service_manual.pdf,Manuales-20260528T010304Z-3-001/Manuales/Electrobisturi/Valleylab_Force_FX-8c_Electrosurgical_Generator_-_Service_manual.pdf,Sin alerta automática
service_manual.md,Maquinas de Hemodialisis Fresenius,,manual_servicio,A,revisar,ingles,pendiente,"Manual tecnico/servicio; fuente prioritaria para mantenimiento, fallas y procedimientos. Requiere revision OCR antes de considerarse fuente confiable.",Service manual.pdf,Manuales-20260528T010304Z-3-001/Manuales/Fressenius 4008S -4008B/Service manual.pdf,Requiere revision OCR
manual_de_usuario_incubadora_medix_tr200.md,Incubadora Medix TR200,Incubadora Medix TR200,duplicado,C,excluir,espanol,pendiente,Documento marcado como duplicado; no se ingesta hasta confirmar necesidad.,Manual de Usuario Incubadora Medix TR200.pdf,Manuales-20260528T010304Z-3-001/Manuales/Incubadoras/Manual de Usuario Incubadora Medix TR200.pdf,Duplicado exacto
manual_tecnico_incubadora_medix_natal_care_st_mx_lx.md,Natal Care ST/MX/LX,Natal Care ST/MX/LX,duplicado,C,excluir,espanol,pendiente,Documento marcado como duplicado; no se ingesta hasta confirmar necesidad.,Manual Técnico Incubadora Medix Natal Care (ST · MX · LX).pdf,Manuales-20260528T010304Z-3-001/Manuales/Incubadoras/Manual Técnico Incubadora Medix Natal Care (ST · MX · LX).pdf,Duplicado exacto
manual_tecnico_incubadora_medix_natal_care_lx.md,Natal Care ST/MX/LX,Natal Care ST/MX/LX,duplicado,C,excluir,espanol,pendiente,Documento marcado como duplicado; no se ingesta hasta confirmar necesidad.,Manual Técnico Incubadora Medix Natal Care LX.pdf,Manuales-20260528T010304Z-3-001/Manuales/Incubadoras/Manual Técnico Incubadora Medix Natal Care LX.pdf,Duplicado exacto
manual_tecnico_incubadora_medix_tr306.md,Incubadora Medix TR306,Incubadora Medix TR306,duplicado,C,excluir,ingles,pendiente,Documento marcado como duplicado; no se ingesta hasta confirmar necesidad.,Manual Técnico Incubadora Medix TR306.pdf,Manuales-20260528T010304Z-3-001/Manuales/Incubadoras/Manual Técnico Incubadora Medix TR306.pdf,Duplicado exacto
manual_usuario_y_tecnico_incubadora_medix_tr_200.md,Medix,,duplicado,C,excluir,espanol,pendiente,Documento marcado como duplicado; no se ingesta hasta confirmar necesidad.,Manual Usuario y Técnico Incubadora Medix TR 200.pdf,Manuales-20260528T010304Z-3-001/Manuales/Incubadoras/Manual Usuario y Técnico Incubadora Medix TR 200.pdf,Duplicado exacto
manual_de_servicio_procesador_de_tejidos_leica_tp_1020_ingles.md,Procesador de Tejidos Leica TP1020,TP1020,manual_servicio,A,revisar,ingles,pendiente,"Manual tecnico/servicio; fuente prioritaria para mantenimiento, fallas y procedimientos. Requiere revision OCR antes de considerarse fuente confiable.",Manual de Servicio Procesador de Tejidos Leica TP 1020 (Inglés).pdf,Manuales-20260528T010304Z-3-001/Manuales/Leica TP1020/Manual de Servicio Procesador de Tejidos Leica TP 1020 (Inglés).pdf,Requiere revision OCR
manual_de_usuario_microtomo_de_rotacion_leica_rm2125_rts.md,Procesador de Tejidos Leica TP1020,RM2125 RTS,manual_usuario,B,incluir,espanol,validado,Presenta conflicto de carpeta/equipo; requiere validación manual antes de activar. Manual de usuario; fuente util para operador/usuario y operacion segura.,Manual de Usuario Micrótomo de Rotación Leica RM2125 RTS.pdf,Manuales-20260528T010304Z-3-001/Manuales/Leica TP1020/Manual de Usuario Micrótomo de Rotación Leica RM2125 RTS.pdf,Conflicto carpeta / equipo
d3d2_service_manual_english_new_defib_2_0_en.md,Desfibrilador Monitor Mindray BeneHeart D3/D2,Desfibrilador Monitor Mindray BeneHeart D3/D2,duplicado,C,excluir,ingles,pendiente,Documento marcado como duplicado; no se ingesta hasta confirmar necesidad.,"D3D2 Service Manual (English, New Defib)_2.0_EN.pdf","Manuales-20260528T010304Z-3-001/Manuales/Monitores multiparametricos/D3D2 Service Manual (English, New Defib)_2.0_EN.pdf",Duplicado exacto
epm_series_compact_monitor_service_manual_v1_0_en.md,Monitor Multiparametrico Mindray ePM Series,Monitor Multiparametrico Mindray ePM Series,manual_servicio,A,revisar,ingles,pendiente,"Manual tecnico/servicio; fuente prioritaria para mantenimiento, fallas y procedimientos. Requiere revision OCR antes de considerarse fuente confiable.",ePM Series Compact Monitor_Service Manual_V1.0_EN.pdf,Manuales-20260528T010304Z-3-001/Manuales/Monitores multiparametricos/ePM Series Compact Monitor_Service Manual_V1.0_EN.pdf,Requiere revision OCR
imec_service_manual_v4_0_en.md,Monitor Multiparametrico Mindray iMEC,Monitor Multiparametrico Mindray iMEC,manual_servicio,A,revisar,ingles,pendiente,"Manual tecnico/servicio; fuente prioritaria para mantenimiento, fallas y procedimientos. Requiere revision OCR antes de considerarse fuente confiable.",iMEC_Service Manual_V4.0_EN.pdf,Manuales-20260528T010304Z-3-001/Manuales/Monitores multiparametricos/iMEC_Service Manual_V4.0_EN.pdf,Requiere revision OCR
pm_9000_service_manual.md,Monitor Multiparametrico Mindray PM-9000,Monitor Multiparametrico Mindray PM-9000,manual_servicio,A,revisar,ingles,pendiente,"Manual tecnico/servicio; fuente prioritaria para mantenimiento, fallas y procedimientos. Requiere revision OCR antes de considerarse fuente confiable.",PM-9000 Service Manual.pdf,Manuales-20260528T010304Z-3-001/Manuales/Monitores multiparametricos/PM-9000 Service Manual.pdf,Requiere revision OCR
hd_67_troubleshooting_equipos_rodantes_mac_gmm_v2.md,Rodantes MAC GMM / Pimax,HD-67,troubleshooting,A,incluir,espanol,validado,Documento de troubleshooting; fuente prioritaria para diagnostico de fallas.,HD-67 Troubleshooting equipos rodantes MAC GMM V2.pdf,Manuales-20260528T010304Z-3-001/Manuales/Pimax/HD-67 Troubleshooting equipos rodantes MAC GMM V2.pdf,Sin alerta automática
manual_de_usuario_incubadora_medix_tr200.md,Incubadora Medix TR200,Incubadora Medix TR200,duplicado,C,excluir,espanol,pendiente,Documento marcado como duplicado; no se ingesta hasta confirmar necesidad.,Manual de Usuario Incubadora Medix TR200.pdf,Manuales-20260528T010304Z-3-001/Manuales/Sillones odontologicos/Manual de Usuario Incubadora Medix TR200.pdf,Duplicado exacto
manual_tecnico_incubadora_medix_natal_care_st_mx_lx.md,Natal Care ST/MX/LX,Natal Care ST/MX/LX,duplicado,C,excluir,espanol,pendiente,Documento marcado como duplicado; no se ingesta hasta confirmar necesidad.,Manual Técnico Incubadora Medix Natal Care (ST · MX · LX).pdf,Manuales-20260528T010304Z-3-001/Manuales/Sillones odontologicos/Manual Técnico Incubadora Medix Natal Care (ST · MX · LX).pdf,Duplicado exacto
manual_tecnico_incubadora_medix_natal_care_lx.md,Natal Care ST/MX/LX,Natal Care ST/MX/LX,duplicado,C,excluir,espanol,pendiente,Documento marcado como duplicado; no se ingesta hasta confirmar necesidad.,Manual Técnico Incubadora Medix Natal Care LX.pdf,Manuales-20260528T010304Z-3-001/Manuales/Sillones odontologicos/Manual Técnico Incubadora Medix Natal Care LX.pdf,Duplicado exacto
manual_tecnico_incubadora_medix_tr306.md,Incubadora Medix TR306,Incubadora Medix TR306,duplicado,C,excluir,ingles,pendiente,Documento marcado como duplicado; no se ingesta hasta confirmar necesidad.,Manual Técnico Incubadora Medix TR306.pdf,Manuales-20260528T010304Z-3-001/Manuales/Sillones odontologicos/Manual Técnico Incubadora Medix TR306.pdf,Duplicado exacto
manual_usuario_y_tecnico_incubadora_medix_tr_200.md,Medix,,duplicado,C,excluir,espanol,pendiente,Documento marcado como duplicado; no se ingesta hasta confirmar necesidad.,Manual Usuario y Técnico Incubadora Medix TR 200.pdf,Manuales-20260528T010304Z-3-001/Manuales/Sillones odontologicos/Manual Usuario y Técnico Incubadora Medix TR 200.pdf,Duplicado exacto
manual_de_servicio_esterilizadora_sterrad_100_ing.md,Esterilizadora Sterrad,Sterrad 100,manual_servicio,A,revisar,ingles,pendiente,"Manual tecnico/servicio; fuente prioritaria para mantenimiento, fallas y procedimientos. Requiere revision OCR antes de considerarse fuente confiable.",Manual de Servicio Esterilizadora Sterrad 100 (Ing).pdf,Manuales-20260528T010304Z-3-001/Manuales/Sterrad/Manual de Servicio Esterilizadora Sterrad 100 (Ing).pdf,Requiere revision OCR
fg_tp_80.md,Equipo sin identificar,,sin_clasificar,C,revisar,espanol,pendiente,Tipo documental no clasificado; requiere revision manual antes de activar. Requiere revision OCR antes de considerarse fuente confiable.,FG-TP-80.pdf,Manuales-20260528T010304Z-3-001/Manuales/TP/FG-TP-80.pdf,Requiere revision OCR
manual_de_mantenimiento_prevent_tp_100.md,Tratamiento de Agua Portatil TP-100,Tratamiento de Agua Portatil TP-100,sin_clasificar,C,revisar,indeterminado,pendiente,Tipo documental no clasificado; requiere revision manual antes de activar. Idioma indeterminado; requiere validacion.,MANUAL DE MANTENIMIENTO PREVENT. TP-100.doc,Manuales-20260528T010304Z-3-001/Manuales/TP/TP 100/MANUAL DE MANTENIMIENTO PREVENT. TP-100.doc,Sin alerta automática
manual_tp_100_castellano_v2.md,Tratamiento de Agua Portatil TP-100,Tratamiento de Agua Portatil TP-100,sin_clasificar,C,revisar,espanol,pendiente,Tipo documental no clasificado; requiere revision manual antes de activar. Requiere revision OCR antes de considerarse fuente confiable.,Manual TP 100 Castellano V2.pdf,Manuales-20260528T010304Z-3-001/Manuales/TP/TP 100/Manual TP 100 Castellano V2.pdf,Requiere revision OCR
plano_electrico_tp_100new.md,Tratamiento de Agua Portatil TP-100,Tratamiento de Agua Portatil TP-100,plano_diagrama,B,incluir,espanol,validado,Plano/diagrama; fuente util si se asocia a contexto tecnico.,Plano Electrico TP-100NEW.pdf,Manuales-20260528T010304Z-3-001/Manuales/TP/TP 100/Plano Electrico TP-100NEW.pdf,Sin alerta automática
ifu_globe_trotter_gt5400_crossvent_2i_mu21764.md,Ventilador Crossvent 2i,Ventilador Crossvent 2i,sin_clasificar,C,revisar,espanol,pendiente,Tipo documental no clasificado; requiere revision manual antes de activar. Requiere revision OCR antes de considerarse fuente confiable.,IfU_Globe_Trotter_GT5400_Crossvent_2i__MU21764.pdf,Manuales-20260528T010304Z-3-001/Manuales/Ventiladores mecánicos/crossvent/IfU_Globe_Trotter_GT5400_Crossvent_2i__MU21764.pdf,Requiere revision OCR
manual_crossvent_3.md,Ventilador Crossvent 3,Ventilador Crossvent 3,sin_clasificar,C,revisar,espanol,pendiente,Tipo documental no clasificado; requiere revision manual antes de activar.,manual Crossvent 3.pdf,Manuales-20260528T010304Z-3-001/Manuales/Ventiladores mecánicos/crossvent/manual Crossvent 3.pdf,Sin alerta automática
manual_crossvent_2_1.md,Ventilador Crossvent 2i,Ventilador Crossvent 2i,duplicado,C,excluir,espanol,pendiente,Documento marcado como duplicado; no se ingesta hasta confirmar necesidad.,Manual Crossvent_2 (1).pdf,Manuales-20260528T010304Z-3-001/Manuales/Ventiladores mecánicos/crossvent/Manual Crossvent_2 (1).pdf,Duplicado exacto
manual_de_servicio_crossvent_biomed_devices_crossvent_4.md,Ventilador Crossvent 4,Ventilador Crossvent 4,manual_servicio,A,revisar,indeterminado,pendiente,"Manual tecnico/servicio; fuente prioritaria para mantenimiento, fallas y procedimientos. Requiere revision OCR antes de considerarse fuente confiable. Idioma indeterminado; requiere validacion.",Manual de servicio CrossVent - BIOMED Devices crossvent 4.pdf,Manuales-20260528T010304Z-3-001/Manuales/Ventiladores mecánicos/crossvent/Manual de servicio CrossVent - BIOMED Devices crossvent 4.pdf,Requiere revision OCR
datex_ohmeda_engstrom_ventilatortechnical_manual.md,Ventilador Engström,,sin_clasificar,C,revisar,ingles,pendiente,Tipo documental no clasificado; requiere revision manual antes de activar. Requiere revision OCR antes de considerarse fuente confiable.,Datex-Ohmeda-Engstrom-VentilatorTechnical-Manual.pdf,Manuales-20260528T010304Z-3-001/Manuales/Ventiladores mecánicos/Datex Ohmeda/Datex-Ohmeda-Engstrom-VentilatorTechnical-Manual.pdf,Requiere revision OCR
guia_rapida_para_enfermeras.md,Ventilador Engström,Sterrad 100,guia_rapida,B,incluir,ingles,validado,Presenta conflicto de carpeta/equipo; requiere validación manual antes de activar. Guia rapida; fuente secundaria util para operador/usuario.,Guia Rapida para enfermeras.pdf,Manuales-20260528T010304Z-3-001/Manuales/Ventiladores mecánicos/Engstrom carestation/Guia Rapida para enfermeras.pdf,Conflicto carpeta / equipo
manual_de_usuario_engstrom_carestation_anexo_es.md,Ventilador Engström,Ventilador GE Engstrom Carestation,manual_usuario,B,incluir,espanol,validado,Manual de usuario; fuente util para operador/usuario y operacion segura.,Manual de usuario Engstrom Carestation - ANEXO- ES.pdf,Manuales-20260528T010304Z-3-001/Manuales/Ventiladores mecánicos/Engstrom carestation/Manual de usuario Engstrom Carestation - ANEXO- ES.pdf,Sin alerta automática
manual_de_usuario_engstrom_carestation_es.md,Ventilador Engström,Ventilador GE Engstrom Carestation,manual_usuario,B,incluir,espanol,validado,Manual de usuario; fuente util para operador/usuario y operacion segura.,Manual de usuario Engstrom Carestation - ES.pdf,Manuales-20260528T010304Z-3-001/Manuales/Ventiladores mecánicos/Engstrom carestation/Manual de usuario Engstrom Carestation - ES.pdf,Sin alerta automática
manual_service_engstrom.md,Ventilador Engström,Ventilador GE Engstrom Carestation,duplicado,C,excluir,ingles,pendiente,Documento marcado como duplicado; no se ingesta hasta confirmar necesidad.,Manual Service Engstrom.pdf,Manuales-20260528T010304Z-3-001/Manuales/Ventiladores mecánicos/Engstrom carestation/Manual Service Engstrom.pdf,Duplicado exacto
ventilacion_no_invasiva.md,Ventilador Engström,Ventilador GE Engstrom Carestation,sin_clasificar,C,revisar,espanol,pendiente,Tipo documental no clasificado; requiere revision manual antes de activar.,Ventilacion No Invasiva.pdf,Manuales-20260528T010304Z-3-001/Manuales/Ventiladores mecánicos/Engstrom carestation/Ventilacion No Invasiva.pdf,Sin alerta automática
introduccion_newport_ht_70_plus.md,HT70,HT70,sin_clasificar,C,revisar,espanol,pendiente,Tipo documental no clasificado; requiere revision manual antes de activar.,Introduccion-Newport-HT-70-Plus.pdf,Manuales-20260528T010304Z-3-001/Manuales/Ventiladores mecánicos/Introduccion-Newport-HT-70-Plus.pdf,Sin alerta automática
5_nivel_3_terapia_fallas_frecuentes_fuga_1.md,Leistung,,troubleshooting,A,incluir,espanol,validado,Documento de troubleshooting; fuente prioritaria para diagnostico de fallas.,5. Nivel 3 Terapia fallas frecuentes - fuga (1).pdf,Manuales-20260528T010304Z-3-001/Manuales/Ventiladores mecánicos/LEISTUNG/5. Nivel 3 Terapia fallas frecuentes - fuga (1).pdf,Sin alerta automática
6_nivel_3_terapia_fallas_frecuentes_presion_1.md,Leistung,,troubleshooting,A,incluir,espanol,validado,Documento de troubleshooting; fuente prioritaria para diagnostico de fallas.,6. Nivel 3 Terapia fallas frecuentes - presion (1).pdf,Manuales-20260528T010304Z-3-001/Manuales/Ventiladores mecánicos/LEISTUNG/6. Nivel 3 Terapia fallas frecuentes - presion (1).pdf,Sin alerta automática
7_nivel_3_terapia_fallas_frecuentes_flujo_2.md,Leistung,,troubleshooting,A,incluir,espanol,validado,Documento de troubleshooting; fuente prioritaria para diagnostico de fallas.,7. Nivel 3 Terapia fallas frecuentes - flujo (2).pdf,Manuales-20260528T010304Z-3-001/Manuales/Ventiladores mecánicos/LEISTUNG/7. Nivel 3 Terapia fallas frecuentes - flujo (2).pdf,Sin alerta automática
l3apnmu_b_manual_de_usuario_luft3apn_ap_1.md,Ventilador Leistung Luft3,Ventilador Leistung Luft3,manual_usuario,B,revisar,espanol,pendiente,Manual de usuario; fuente util para operador/usuario y operacion segura. Requiere revision OCR antes de considerarse fuente confiable.,L3APNMU--B Manual de usuario LUFT3APN-AP (1).pdf,Manuales-20260528T010304Z-3-001/Manuales/Ventiladores mecánicos/LEISTUNG/L3APNMU--B Manual de usuario LUFT3APN-AP (1).pdf,Requiere revision OCR
manual_de_calibracion_neumovent_graph.md,Respirador Neumovent Graph,Respirador Neumovent Graph,manual_calibracion,A,incluir,espanol,validado,Documento de calibracion; fuente prioritaria para tecnico.,Manual de Calibración Neumovent Graph.pdf,Manuales-20260528T010304Z-3-001/Manuales/Ventiladores mecánicos/Manual de Calibración Neumovent Graph.pdf,Sin alerta automática
manual_tecnico_ventilador_engstrom_espanol.md,Ventilador Engström,Ventilador GE Engstrom Carestation,manual_tecnico,A,incluir,espanol,validado,"Manual tecnico/servicio; fuente prioritaria para mantenimiento, fallas y procedimientos.",Manual Técnico Ventilador Engström (Español).pdf,Manuales-20260528T010304Z-3-001/Manuales/Ventiladores mecánicos/Manual Técnico Ventilador Engström (Español).pdf,Sin alerta automática
manual_tecnico_ventilador_ge_engstrom_aleman.md,Ventilador Engström,,duplicado,C,excluir,ingles,pendiente,Documento marcado como duplicado; no se ingesta hasta confirmar necesidad.,Manual Técnico Ventilador GE Engström (Aleman).pdf,Manuales-20260528T010304Z-3-001/Manuales/Ventiladores mecánicos/Manual Técnico Ventilador GE Engström (Aleman).pdf,Duplicado exacto
manual_tecnico_ventilador_ge_engstrom.md,Ventilador Engström,,duplicado,C,excluir,ingles,pendiente,Documento marcado como duplicado; no se ingesta hasta confirmar necesidad.,Manual Técnico Ventilador GE Engström.pdf,Manuales-20260528T010304Z-3-001/Manuales/Ventiladores mecánicos/Manual Técnico Ventilador GE Engström.pdf,Duplicado exacto
manual_tecnico_ventilador_neumovent_graphnet_neo_ts.md,Respirador Neumovent Graph,Respirador Neumovent Graph,manual_tecnico,A,revisar,espanol,pendiente,"Manual tecnico/servicio; fuente prioritaria para mantenimiento, fallas y procedimientos. Requiere revision OCR antes de considerarse fuente confiable.",Manual Técnico Ventilador Neumovent GraphNet Neo TS.pdf,Manuales-20260528T010304Z-3-001/Manuales/Ventiladores mecánicos/Manual Técnico Ventilador Neumovent GraphNet Neo TS.pdf,Requiere revision OCR
calibracion.md,Respirador Neumovent Graph,Respirador Neumovent Graph,duplicado,C,excluir,espanol,pendiente,Documento marcado como duplicado; no se ingesta hasta confirmar necesidad.,CALIBRACÍON.pdf,Manuales-20260528T010304Z-3-001/Manuales/Ventiladores mecánicos/manualtcniconeumovent/CALIBRACÍON.pdf,Duplicado exacto
manual_tecnico_nv_graph_rev_03.md,Respirador Neumovent Graph,Respirador Neumovent Graph,manual_tecnico,A,incluir,espanol,validado,"Manual tecnico/servicio; fuente prioritaria para mantenimiento, fallas y procedimientos.",Manual tecnico NV-Graph Rev-03.pdf,Manuales-20260528T010304Z-3-001/Manuales/Ventiladores mecánicos/manualtcniconeumovent/Manual tecnico NV-Graph Rev-03.pdf,Sin alerta automática
manualtecnico_bebe_rev_01.md,Neumovent,,sin_clasificar,C,revisar,espanol,pendiente,Tipo documental no clasificado; requiere revision manual antes de activar.,MANUALTECNICO BEBE Rev-01.pdf,Manuales-20260528T010304Z-3-001/Manuales/Ventiladores mecánicos/manualtcniconeumovent/MANUALTECNICO BEBE Rev-01.pdf,Sin alerta automática
pdfcoffee_com_manual_tecnico_neumovent_advance_neo_ts_2_pdf_free.md,Respirador Neumovent Graph,Respirador Neumovent Graph,sin_clasificar,C,revisar,espanol,pendiente,Presenta conflicto de carpeta/equipo; requiere validación manual antes de activar. Tipo documental no clasificado; requiere revision manual antes de activar.,pdfcoffee.com_manual-tecnico-neumovent-advance-neo-ts-2-pdf-free.pdf,Manuales-20260528T010304Z-3-001/Manuales/Ventiladores mecánicos/manualtcniconeumovent/pdfcoffee.com_manual-tecnico-neumovent-advance-neo-ts-2-pdf-free.pdf,Conflicto carpeta / equipo
tecme_graphnet_ventilator_service_manual_es.md,Respirador Neumovent Graph,Respirador Neumovent Graph,manual_servicio,A,incluir,indeterminado,validado,"Manual tecnico/servicio; fuente prioritaria para mantenimiento, fallas y procedimientos. Idioma indeterminado; requiere validacion.",Tecme GraphNet Ventilator - Service manual (es).pdf,Manuales-20260528T010304Z-3-001/Manuales/Ventiladores mecánicos/manualtcniconeumovent/Tecme GraphNet Ventilator - Service manual (es).pdf,Sin alerta automática
manualtcniconeumovent.md,Neumovent,,sin_clasificar,C,revisar,indeterminado,pendiente,Tipo documental no clasificado; requiere revision manual antes de activar. Idioma indeterminado; requiere validacion.,manualtcniconeumovent.zip,Manuales-20260528T010304Z-3-001/Manuales/Ventiladores mecánicos/manualtcniconeumovent.zip,Sin alerta automática
maquet_servo_i_service_manual_2_of_2.md,Ventilador Maquet Servo-i,Ventilador Maquet Servo-i,manual_servicio,A,revisar,indeterminado,pendiente,"Manual tecnico/servicio; fuente prioritaria para mantenimiento, fallas y procedimientos. Requiere revision OCR antes de considerarse fuente confiable. Idioma indeterminado; requiere validacion.",Maquet Servo I Service Manual 2 of 2.pdf,Manuales-20260528T010304Z-3-001/Manuales/Ventiladores mecánicos/Maquet/Maquet Servo I Service Manual 2 of 2.pdf,Requiere revision OCR
maquet_servo_i_service_manual.md,Ventilador Maquet Servo-i,Ventilador Maquet Servo-i,manual_servicio,A,incluir,ingles,validado,"Manual tecnico/servicio; fuente prioritaria para mantenimiento, fallas y procedimientos.",Maquet-Servo-i-Service-Manual.pdf,Manuales-20260528T010304Z-3-001/Manuales/Ventiladores mecánicos/Maquet/Maquet-Servo-i-Service-Manual.pdf,Sin alerta automática
clave.md,Neumovent,,sin_clasificar,C,revisar,indeterminado,pendiente,Tipo documental no clasificado; requiere revision manual antes de activar. Idioma indeterminado; requiere validacion.,clave.jpg,Manuales-20260528T010304Z-3-001/Manuales/Ventiladores mecánicos/Neumovent/clave.jpg,Sin alerta automática
